registred_name,registered_country_code,registered_country,registered_region,registered_city,registered_postcode,registered_street,registered_street_number,registered_latitude,registered_longitude,registered_primary_phone,jurisdiction,legal_form,company_status,year_incorporated,date_incorporated,lei_id,ein_id,vat_id,registry_id
DIVCON EMS AUSTIN INC.,US,United States,Texas,Dallas,75229,Royal Lane,4701,32.89506149,-96.82746887,,us-tx,Stock Corporation,Inactive,2021,12-04-2021,,,,11207846
"PERFECT GLASSWORKS, LLC",US,United States,Maryland,Montgomery County,20879,Beechcraft Avenue,7901,39.16420746,-77.16223907,3012673404,us-md,Limited Liability Company,Active,2012,03-02-2012,,,,W14519912
"SAN FRANCISCO ELEVATOR SERVICES, LLC",US,United States,California,Dublin,94568,Sierra Lane,6517,37.70620346,-121.9116287,,us-ca,Corporation,Active,2019,03-05-2019,,,,201912610058
"CINNABAR CALIFORNIA, INC.",US,United States,California,Los Angeles,90039,Electronics Place,4571,34.14482117,-118.2739716,8185722014,us-ca,Corporation,Active,1990,10-01-1990,,954259256,,1475153
NOVOFIT PTY LTD,AU,Australia,Victoria,Melbourne,3205,,,-37.83346176,144.957016,,au,Australian Private Company,Active,1982,22-06-1982,549300PE8J53VQPL0L59,,,56006064017
TRICON DRILLING SOLUTIONS PTY LTD,AU,Australia,Western Australia,City Of Belmont,6104,,,-31.94996834,115.9249573,,au,Australian Private Company,Active,2000,01-07-2000,,,,64060295696
"HARRISON CONTRACTING CO., INC.",US,United States,Georgia,Villa Rica,30180,Carrollton Villa Rica Highway,65,33.72146225,-84.9393158,,us-ga,Domestic Profit Corporation,Active,1995,16-02-1995,,582148783,,K507386
"REGIONAL FIRE PROTECTION, LLC",US,United States,Maryland,Washington County,21795,Governor Lane Boulevard,10312,39.59751511,-77.80426025,,us-wv,Limited Liability Company,Active,2017,27-05-2017,,815220858,,367255
Smith-Emery Company,US,United States,California,San Francisco,94124,Oakdale Avenue,1940,37.73829651,-122.3966675,14156427326,us-ca,Corporation,Active,1919,20-08-1919,,951232260,,89013
"FITZGERALD EQUIPMENT COMPANY, INC.",US,United States,Illinois,Rockford,61109,Boeing Drive,4650,42.21648788,-89.09042358,8153977050,us-il,Domestic Profit Corporation,Inactive,1992,12-03-1992,,362591399,,362591399
"Turnkey Processing Solutions, LLC",US,United States,Tennessee,Franklin,37067,Duke Drive,500,35.95180511,-86.83198547,,us-il,Foreign Limited Liability Company,Active,2015,23-09-2015,,205355237,,15092516
"KIRK ERECTORS, INC.",US,United States,Colorado,Golden,80401,Capital Drive,150,39.71752548,-105.1963425,,us-wa,FOREIGN PROFIT CORPORATION,Active,2010,18-03-2010,,,,603002313
"Espresso Services, Inc.",US,United States,Minnesota,Minneapolis,55413,Central Avenue Northeast,1026,45.00593567,-93.24737549,,us-mn,Corporation,Active,1992,21-05-1992,,411726721,,397375
KATY'S GIFT BOXES LIMITED,GB,United Kingdom,England,St Albans,AL1 3JB,Victoria Street,6,51.75198364,-0.3381743133,,gb,Private Limited Company,Active,2020,13-09-2020,,,,12875228
TOURMERIC LTD,GB,United Kingdom,England,London,N1 7GU,Wenlock Road,,51.5314827,-0.09415409714,,gb,Private Limited Company,Active,2020,27-05-2020,,,,12625639
A1 CHEMICAL WASTE MANAGEMENT LTD,GB,United Kingdom,England,Liverpool,L1 5AS,Duke Street,10,53.4000473,-2.97648716,441512200735,gb,Private Limited Company,Active,2011,17-02-2011,,,,7533662
SUBLIME ENERGY SERVICES LIMITED,GB,United Kingdom,England,Bradford,BD6 3HX,Enfield Parade,30,53.77011108,-1.787167072,441274878333,gb,Private Limited Company,Active,2018,05-07-2018,,,,11450183
EQUITI PROPERTY LIMITED,GB,United Kingdom,England,London,SW17 7SD,Trinity Road,13,51.4663353,-0.2901730537,442038686971,gb,Private Limited Company,Active,2019,13-02-2019,,,,11825293
FL4 GROUP LTD,GB,United Kingdom,England,London,EN5 5SU,High Street,159,51.65535736,-0.2017869949,447770644801,gb,Private Limited Company,Active,2020,16-10-2020,,,,12956881
FLOURISHING LANGUAGE SOLUTION LTD,GB,United Kingdom,England,Gateshead,NE8 4AH,Northbourne Street,40,54.95019913,-1.595291615,447523901561,gb,Private Limited Company,Active,2019,18-03-2019,,,,11888485
MUSKS LIMITED,GB,United Kingdom,England,Newmarket,CB8 7SY,,,52.26162338,0.3947826922,441638662626,gb,Private Limited Company,Active,1993,22-01-1993,,,,2782780
INTELLI - BUILDING CONTROL & SOLUTIONS LLC,US,United States,Delaware,,,,,,,,us-de,Limited Liability Company,Active,2009,06-05-2009,,,,4684506
CAPITOL ELEVATOR CO INC,US,United States,California,Sacramento,95826,Harlin Drive,4513,38.53724289,-121.3570938,9168251655,us-ca,Corporation,Active,1974,11-04-1974,,942246161,,942246161
"KOMAX SYSTEMS, INC.",US,United States,California,Huntington Beach,92649,Graham Street,15301,33.73921585,-118.0329208,3108304320,us-ca,Corporation,Active,1974,24-04-1974,,952886312,,952886312
"HanSon Custom Crushing, Inc.",US,United States,Minnesota,Forest Lake,55025,Enfield Court North,20280,45.24431229,-93.01560211,,us-mn,Corporation,Active,2007,13-12-2007,,,,2629055-2
"SELECT DEMO SERVICES, LLC",US,United States,New Hampshire,Salem,3079,Lowell Road,40,42.76538849,-71.24108887,,us-ma,Limited Liability Company,Active,2004,20-10-2004,,,,270107087
"Cajun Industries, LLC",US,United States,Louisiana,East Baton Rouge Parish,70817,Airline Highway,15635,30.35348701,-91.00201416,12257535857,us-la,Limited Liability Company,Active,2010,31-03-2008,,720733546,,36705940Q
"Talos Engineered Products, LLC",US,United States,Tennessee,Lewisburg,37091,Industrial Drive,841,35.43152618,-86.74143219,,us-tn,Foreign Limited Liability Company,Active,2021,27-07-2021,,,,21206185
LLOYDS METAL FABRICATION PTY. LTD.,AU,Australia,Victoria,City Of Ballarat,3355,,,-37.53439713,143.819397,,au,Australian Private Company,Active,2000,01-07-2000,,,,81079888912
Enscope Pty Ltd,AU,Australia,Western Australia,City Of Vincent,6007,,,-31.93612099,115.8404236,,au,Australian Private Company,Active,2009,06-04-2009,,,,38136478030
Kaufman Concrete Cutting Co,US,United States,Kentucky,Louisville,40203,West Main Street,1113,38.25824356,-85.76879883,15025845770,us-in,Corporation,Active,1993,28-06-1993,,,,1993070227
Safe Work Laboratories Pty Ltd,AU,Australia,Victoria,Melbourne,3149,,,-37.88290405,145.136673,,au,Australian Private Company,Active,2011,25-11-2011,,,,98154468890
"LYON SHEET METAL & HEATING, INC.",US,United States,Minnesota,Sauk Rapids,56379,Stearns Drive,235,45.59885406,-94.15380096,3207746084,us-mn,Corporation,Active,1982,12-11-1982,,,,411437207
