company_id,root_domain,page_breadcrumbs,h1,meta_title,url,name,product_description,unspsc_class_name,unspsc_class,unspsc_family_name,unspsc_family,unspsc_segment_name,unspsc_segment
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,"United States | All 3M Products | Automotive Parts & Hardware | Wheel Weights & Parts | Wheel Weight Replacement Parts | 3M™ Mechanical Replacement Weight PN99427, 7mm x 14mm","3M™ Mechanical Replacement Weight PN99427, 7mm x 14mm","3M™ Mechanical Replacement Weight PN99427, 7mm x 14mm | 3M United States",https://www.3m.com/3M/en_US/p/d/b40070557/,Cutter Stand,"View all details
 Details
 One product replaces dozens of clip-on weights to simplify inventory needs
 Replaces clip-on/bang-on mechanical weights
 Corrosion-free product enables maintenance of expensive wheels and enhances overall vehicle appearance
 Elimination of clip-on weights improves wheel appearance by hiding wheel weights
 Uses industry-proven 3M Attachment Tape technology ensuring dependable attachment
 Can be cut to size for customized lengths and weights
 Precision cut-to-length weights improve wheel balance and vehicle ride quality
 3M Mechanical Replacement Weight PN99427 is an adhesive backed mechanical replacement for clip-on weights used on the wheel flange to balance tires. The self-dispensing package, provided on a roll of wheel weight material, is placed directly on a cutter stand alongside a cutting device to make the product easy to use for precision tire balancing and a smoother ride.
 3M Mechanical Replacement Weight attached to an alloy wheel
 A more environmentally friendly alternative to lead wheel weights
 3M Mechanical Replacement Weight PN99427 (PDF, 2.67 Mb) is a new wheel weight profile designed to replace clip, flange or mechanical weights used on the exterior plane of wheels for balancing. It combines a flexible and conformable material for balancing wheels with industry-leading 3M Attachment Tape technology for dependable attachment. The results are an all-in-one, cut-to-fit wheel balancing system that has less impact on the environment than lead wheel weights. This product fills out the 3M Wheel Weight System product portfolio and allows our customer a complete wheel balancing system whether it be on the interior or exterior planes of the wheel.
 Here's the Wheel Weight Deal
 The 3M Wheel Weight System combines conformable wheel balancing material and industry-leading 3M Automotive Attachment Tape to provide an all-in-one, securely attached wheel weight balancing system. Designed to have less impact on the environment than the industry-standard lead wheel weights, the 3M Wheel Weight System is a proprietary product with unique properties built to meet our customers' ever-increasing needs for lead-free, quality products. The 3M Wheel Weight System consists of a unique, flexible and conformable material available in an easy-to-use, self-dispensing package used with a stand and cutting device.
 The 3M Wheel Weight material is provided as a roll good designed to be cut to weight. This provides precision balancing, which enables customers to reduce their cost of ownership by eliminating traditional wheel weight inventories of individual part sizes. Designed to replace environmentally harmful lead wheel weights, corrosion-free 3M Wheel Weights enable maintenance of expensive wheels and enhance overall vehicle appearance
 Our system is used both in the automobile OEM manufacturing process and the automobile aftermarket.
 3M Science Does Its Part to Eliminate a Source of Lead Contamination
 Our wheel weights are made from a non-lead composite material. According to the EPA, approximately 1.6 million pounds of lead wheel weights are lost in the United States when they fall off during normal driving conditions. These weights can enter the environment in a variety of ways, including being washed into storm sewers or gathered during street cleaning or disposed of in landfills. A growing number of jurisdictions are introducing and passing legislation that bans the use of lead wheel weights. Our lead-free, composite material provides a more environmentally friendly alternative without sacrificing performance. In addition to environmental benefits, these wheel weights also resist the corrosion that is common with lead weights, which enhances overall tire appearance.
 Recommended Applications
 Wheel balancing",Log debarkers and accessories,23231000,Sawmilling and lumber processing machinery and equipment,23230000,Industrial Manufacturing and Processing Machinery and Accessories,23000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,"United States | All 3M Products | Insulation | Acoustic Insulation | 3M™ Engineered Damping Material EDM1029, 2.9 mm, Aluminum","3M™ Engineered Damping Material EDM1029, 2.9 mm, Aluminum","3M™ Engineered Damping Material EDM1029, 2.9 mm, Aluminum | 3M United States",https://www.3m.com/3M/en_US/p/d/b5005093054/,Acoustic Damping,"View all details
 Details
 Delivers comparable or better performance to conventional constrained layer damping (CLD) materials and is less than half the weight
 Stand-off layer features low-density engineered stem web that optimizes damping performance
 Damps structure-borne noise when lighter materials such as thin-gauge steel, aluminum and composites are used, without adding significant weight
 Flexible, conformable material applies uniformly to complex shapes
 Adhesive backing improves wet out and won't delaminate even at high temperatures
 Can be installed in vertical or inverted applications
 Meets requirements of many OEMs for low interior VOCs
 Thickness of 2.9 mm allows for a wide range of installations where space is limited
 3M Engineered Damping Material EDM1029 delivers high NVH performance from smaller parts at lower weight than traditional CLDs. It damps structure-borne noise in designs using lightweight substrates without adding significant weight. Flexible, conformable, adhesive-backed and customizable, this thin 2.9 mm material installs more easily, more cleanly and in more places vs. Al butyl or bitumen.
 3M Engineered Damping Material features an engineered stem web layer between two layers of adhesive
 High NVH Performance. Less Material. Half the Weight
 A true advancement in automotive NVH management, our 3M Engineered Damping Material EDM1029 (PDF, 240.85 Kb) allows you to use smaller, lighter-weight parts for equal performance vs. conventional CLD solutions. This 2.9 mm-thick material features an engineered stem web layer between two layers of adhesive. Along with an aluminum constraining layer, this construction delivers the damping performance of a conventional CLD like Al butyl or bitumen, at half the weight. It is excellent for damping structure-borne noise, which is critical as OEMs continually incorporate lighter-weight substrates such as thin-gauge steel, aluminum and composites into their vehicle designs. It is a great alternative to traditional damping as OEMs strive to meet fuel efficiency and CO2 regulations. It meets the requirements of many OEMs for low interior VOCs.
 Learn more about 3M Engineered Damping Material EDM1000 Series (PDF, 633.9 Kb)
 Easy, Clean Installation Nearly Anywhere on the Vehicle
 3M Engineered Damping Material is a flexible, conformable material that can be applied uniformly even to complex shapes. Its adhesive backing allows for easy, precise and permanent installation — even to inverted or vertical areas where other CLDs have been difficult to install, such as roofs and door panels. It also adds stiffness to the substrate, along with better surface contact for better damping performance.
 The flexible material applies easily to irregular or curved surfaces
 Recommended Applications:
 Roofs
 Doors
 Trunks
 Floors
 Rear wheel arches
 Spare tire areas
 Customizable for nearly any area of the vehicle
 Why Automotive Manufacturers Choose 3M Engineered Damping Material:
 High damping performance. Constrained-layer material provides excellent acoustic damping across a range of frequencies, with advantages over traditional materials at temperatures above 40C.
 Lighter weight. Engineered web stem construction delivers similar performance in much smaller parts vs. Al butyl or bitumen.
 Easy to use. Integrates quickly into OEM general assembly processes.
 Easy to install. Conformable material handles well and applies uniformly across irregular or complex surfaces.
 Can be used in more places. Adhesive backing makes for precise, permanent application, well-suited for roofs and door panels. It can be customized for nearly any area of the vehicle.
 Manufacturing Support. 3M Engineered Damping Material is supported by a global network of 3M experts. Available in a variety of standard sizes, with custom die cutting services available as required.
 About 3M and the Science of Sound
 As part of our overall presence in transportation industries across the globe, 3M has spent decades helping effectively managing noise, vibration and harshness (NVH) in automotive OEM. Our Thinsulate brand has been instrumental in improving sound insulation and absorption, from parcel trays instrument panels to cavity filling to engine-side and other high-temperature applications. Our 3M Engineered Damping Material is another advancement at the intersection of damping performance, lightweighting and meeting stringent standards for fuel efficiency and CO2 worldwide.",Power tools,27112700,Hand tools,27110000,Tools and General Machinery,27000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,"United States | All 3M Products | Filtration & Separation | Air Filters & Purifiers | Air Quality Units | Filtrete™ Room Air Purifier - Medium Room, 160 sq. ft., FAP-C02-F2","Filtrete™ Room Air Purifier - Medium Room, 160 sq. ft., FAP-C02-F2","Filtrete™ Room Air Purifier - Medium Room, 160 sq. ft., FAP-C02-F2 | 3M United States",https://www.3m.com/3M/en_US/p/d/cbgnawus1773/,Air Purifier Systems,"Cleaner indoor air can be yours—even if you don’t have an HVAC system. The Filtrete Room Air Purifier device and its filter help reduce airborne particles in the air you breathe. This stand alone unit works well in medium sized rooms and includes a Filtrete Allergen Reduction Filter that captures mold spores, pollen, pet dander and more*.(*Disclaimer: as small as 0.3 microns, from the air passing through the filter media. Initial efficiency value.)
 COMPATIBLE WITH F2 Filtrete Filters
 FOR MEDIUM ROOMS, up to 150 sq. ft.
 EQUIPPED WITH AN ELECTRONIC FILTER CHANGE INDICATOR so you never miss a filter change
 FAN SPEED. 3 fan speeds
 REPLACEMENT FILTER OPTIONS: Advanced Allergen, Bacteria & Virus True HEPA; Allergen Reduction; Allergen Reduction Odor Reduction
 98 smoke CADR (Clean Air Delivery Rate)
 PARTICLES CAPTURED. 95% of airborne particles captured*
 REPLACE YOUR FILTER every 6 months**
 FOR RESIDENTIAL use only
 Filtrete knows your home filtration needs are as unique as you are, that’s why we’ve designed a family of room air purifier filters and devices to fit your lifestyle - from small to large rooms; True HEPA, to Odor Reduction - Filtrete has you covered",Purification,40161600,Industrial filtering and purification,40160000,Distribution and Conditioning Systems and Equipment and Components,40000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,"United States | All 3M Products | Medical | Temperature Management | Warming Blankets | 3M™ Bair Hugger™ Warming Blanket, 63500","3M™ Bair Hugger™ Warming Blanket, 63500","3M™ Bair Hugger™ Warming Blanket, 63500 | 3M United States",https://www.3m.com/3M/en_US/p/d/b00042300/,3m Bair Hugger Therapy,"Underbody design warms the patient while providing full, unrestricted patient access
 Unique fluid outlets minimize pooling of fluids on the surface of the blanket
 Pass-through slits allow flexible patient positioning (supine, lateral or prone) and the use of a drawsheet
 Soft, radiolucent materials accommodate imaging requirements
 Perforated area at head of blanket can be removed to accommodate a full prone position
 Adhesive strips and tuck flaps secure the blanket to the OR/procedure table
 Two resealable hose ports at either end of the blanket provide options for hose placement
 Included clear head drape retains warm air around the intubated patients head and allows observation by the clinician
 Ideal for cardiac, complex or routine surgeries where the patient is in the supine, lateral or prone positions
 Delivers consistent, even warming by optimized airflow through the blanket’s air channel and perforation pattern
 The 3M Bair Hugger underbody series blankets provide full, unrestricted patient access and can be conveniently positioned on the procedure table before the patient arrives.",Work hardening equipment for rehabilitation or therapy,42251800,Physical and occupational therapy and rehabilitation products,42250000,Medical Equipment and Accessories and Supplies,42000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,United States | All 3M Products | Medical | Bandages & Dressings | Wound Fillers | 3M™ Tegaderm™ Hydrogel Wound Filler,3M™ Tegaderm™ Hydrogel Wound Filler,3M™ Tegaderm™ Hydrogel Wound Filler | 3M United States,https://www.3m.com/3M/en_US/p/d/b00016419/,Dosing Tube,"Attribute Name Value
 Brand Tegaderm
 Condition
 Pressure Ulcer , Wound Care
 Department
 EMERGENCY , Home Care , Intensive Care Unit , Long-Term Care , Medical-Surgical , Operating Room-Surgery , Urgent Care , Wound Care
 Hypoallergenic No
 Latex No
 Net Weight (Metric)
 15 g , 25 , 25 g
 Product Type Hydrogel Wound Filler
 Sterile Yes",Dosing devices,41123400,Laboratory supplies and fixtures,41120000,Laboratory and Measuring and Observing and Testing Equipment,41000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,United States | All 3M Products | Personal Protective Equipment | Respiratory Protection | Disposable Respirators | 3M™ Performance Particulate Respirator 8210Plus,3M™ Performance Particulate Respirator 8210Plus,3M™ Performance Particulate Respirator 8210Plus | 3M United States,https://www.3m.com/3M/en_US/p/d/cbgnawus1818/,3m 8210plus Performance Respirator,"This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.
 Now Playing
 Up Next 3M 8210Plus Performance Respirator
 0:30
 Now Playing
 Up Next 3M Disposable Respirators Filter Out Airborne Particulates
 3:29
 Now Playing
 Up Next Tips for how to put on a 3M Disposable Respirator
 1:56
 Now Playing
 Up Next Tips for when to replace your 3M Disposable Respirator
 0:46
 3M 8210Plus Performance Respirator
 Item 1 of 5",Respiratory protection,46182000,Personal safety and protection,46180000,Defense and Law Enforcement and Security and Safety Equipment and Supplies,46000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,United States | All 3M Products | Lubricants | Wire & Cable Lubricants | 3M™ Wire-Pulling Lubricant WLS,3M™ Wire-Pulling Lubricant WLS,3M™ Wire-Pulling Lubricant WLS | 3M United States,https://www.3m.com/3M/en_US/p/d/b00016361/,Cable Pulling,"For industrial/occupational use only. Not for consumer sale or use.
 3M industrial and occupational products are intended, labeled, and packaged for sale to trained industrial and occupational customers for workplace use. Unless specifically stated otherwise on the applicable product packaging or literature, these products are not intended, labeled, or packaged for sale to or use by consumers (e.g., for home, personal, primary or secondary school, recreational/sporting, or other uses not described in the applicable product packaging or literature), and must be selected and used in compliance with applicable health and safety regulations and standards (e.g., U.S. OSHA, ANSI), as well as all product literature, user instructions, warnings, and other limitations, and the user must take any action required under any recall, field action, or other product use notice. Misuse of 3M industrial and occupational products may result in injury, sickness, death, or property damage. For help with product selection and use, consult your on-site safety professional, industrial hygienist, or other subject matter expert.",Miscellaneous hardware,31162800,Hardware,31160000,Manufacturing Components and Supplies,31000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,United States | All 3M Products | Advanced Materials | Ceramics | Boron Carbide | 3M™ Boron Carbide Powders as Boron Source,3M™ Boron Carbide Powders as Boron Source,3M™ Boron Carbide Powders as Boron Source | 3M United States,https://www.3m.com/3M/en_US/p/d/b49000153/,Boron Trichloride,"CONTACT US
 Details
 The high boron content (almost 80 wt%) of 3M Boron Carbide makes this material a cost-effective boron source for the production of boron halides and metal borides.
 Our manufacturing process for 3M Boron Carbide yields consistent high purity and a high boron content of almost 80 wt%, making this material a cost-effective boron source. 3M boron carbide is used as a boron source for the chemical formation of boron trichloride gas (BCl3) or boron tribromide liquid (BBr3), both used for doping of semiconductors. Boron carbide powder is also used as a raw material for a variety of high-purity, boron-related materials such as titanium diboride and zirconium diboride, and for the boronizing/boriding (hardening) of steel surfaces.
 Resources
 Data Sheets",Non metals and pure and elemental gases,12141900,Elements and gases,12140000,Chemicals including Bio Chemicals and Gas Materials,12000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,"United States | All 3M Products | Labels | Label Materials | Label Stock | 3M™ Laser Printable Label Material FM01961K, White Polyester, Roll, Config","3M™ Laser Printable Label Material FM01961K, White Polyester, Roll, Config","3M™ Laser Printable Label Material FM01961K, White Polyester, Roll,
 Config | 3M United States",https://www.3m.com/3M/en_US/p/d/v000238938/,Food Packages,"View all details
 For industrial/occupational use only. Not for consumer sale or use.
 Details
 Labels with a topcoating specially designed for use with laser printers
 Adhesive dry ingredients are listed by FDA as indirect food contact additives when used in food packaging with minimum opportunity for exposure. See 21 CFR 175.105.
 Can be applied at temperatures as low as 0F (-18C).
 Adhesive offers exceptional adhesion to a wide variety of substrates with moderate resistance to water and humidity.
 Liner has a special surface finish to enhance feed and reduce static problems. Ideal for copier and many desktop laser applications.
 3M MC Polyester Durable Label Material FM01961K is a white durable, high performance microcavitated polyester materials that offers excellent thermal stability and moisture resistance. This polyester labels utilizes 3M Adhesive F2201, which offers high initial tack, good clarity and adhesion when applied at low temperatures and excellent processing characteristics.
 Recommended Applications
 Barcode labels and rating plates
 Property identification and asset labeling
 Warning, instruction, and service labels for durable goods
 Nameplates for durable goods
 About 3M Adhesive for Laser Printable Label Materials
 3M Laser Printable Label Materials feature a range of our specially-formulated adhesives for just the right balance of adhesion and removability. Adhesives include:
 3M Adhesive 310 is a firm adhesive which resists oozing and provides high strength on a variety of surfaces including high surface energy (HSE) plastics and metals.
 3M High Performance Permanent Tackified Acrylic Adhesive P1400 is formulated for use in demanding environments. This adhesive offers good UV resistance and excellent adhesion to a wide variety of substrates, including polyolefins.
 3M Adhesive F2201 is a freezer grade acrylic that offers high initial tack, good clarity, and adhesion when applied at temperatures as low as 0F. It also has excellent processing characteristics and offers exceptional adhesion to a wide variety of substrates with moderate resistance to water and humidity.
 3M Adhesive 350 is a modified acrylic adhesive ideal for applications requiring high shear strength even on low surface energy materials, powder coatings or slightly oily metals.
 3M Adhesive F2201, which offers high initial tack, good clarity and adhesion when applied at low temperatures and excellent processing characteristics.
 Resources",Packaging services,73151600,Manufacturing support services,73150000,Industrial Production and Manufacturing Services,73000000
ce5f9825-93e4-11eb-8ad6-7326edce8d21,3m.com,United States | All 3M Products | Lab Supplies & Testing | Oil Quality Test Strips | 3M™ Low Range Oil Quality Test Strips,3M™ Low Range Oil Quality Test Strips,3M™ Low Range Oil Quality Test Strips | 3M United States,https://www.3m.com/3M/en_US/p/d/b00003708/,Test Strips Wall Chart,"When a more precise reading of early degradation of oil is desired, try the 3M Low Range Oil Quality Test Strips. This strip measures free fatty acid concentrations at 1%, 1.5%, 2% and 2.5%. Ideal for food processing applications or to help meet regulatory requirements.",Aptitude and vocational testing materials,60106600,Developmental and professional teaching aids and materials and accessories and supplies,60100000,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,60000000
