veridion_id,esg_content_type,esg_content_headline,esg_content_relevant_text,esg_content_source_url,esg_content_pillar,esg_content_risk_criteria,esg_content_sentiment_value,esg_content_sentiment_confidence,esg_content_publish_date
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Embedding sustainability in our business—and yours,"We manage our global real estate portfolio to minimize greenhouse gas emissions, energy usage, water consumption, and waste generation.",https://www.oracle.com/sustainability/,Environmental,Water Consumption,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Embedding sustainability in our business—and yours,We’re targeting 100% renewable energy use by 2025 | Our innovations extend across sustainable cloud operations and cloud applications that help our customers run their own businesses at lower costs and with less energy use.,https://www.oracle.com/sustainability/,Environmental,Non-conventional energy methods,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Employees,"They make an impact in their local communities by hosting educational sessions, driving energy efficiency, engaging with real estate and facilities teams to promote recycling and eliminate waste, encouraging more sustainable modes of transportation, volunteering with environmental organizations, and more.",https://www.oracle.com/uk/social-impact/sustainability/employees/,Environmental,Non-conventional energy methods,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Diversity and inclusion,We’re proud to be a company that makes diversity and inclusion a priority. | We work together to make diversity and inclusion a reality,https://www.oracle.com/gh/careers/diversity-inclusion/,Governance,Diversity,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Sustainability at CloudWorld,sourced from renewables including solar and wind | Our innovations extend across sustainable cloud operations and applications that help our customers run their own businesses at lower costs and with less energy use.,https://www.oracle.com/cloudworld/sustainability/,Environmental,Non-conventional energy methods,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Sustainability at CloudWorld,"Our sustainability goals for CloudWorld 2023 include promoting zero waste and targeting zero waste to landfill, decreasing total event emissions, giving back to local organizations, and inspiring attendees with engaging sustainability experiences.",https://www.oracle.com/cloudworld/sustainability/,Environmental,Carbon Footprint,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Sustainability at CloudWorld,"In the CloudWorld Hub, you’ll see digital offerings instead of printed collateral, aisles free of carpet, and booths built using recyclable or reusable materials.",https://www.oracle.com/cloudworld/sustainability/,Environmental,Plastic pollution,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Diversity and inclusion—be yourself here,"We’re proud to be a company that makes diversity and inclusion a priority. | We welcome and support people of all races, ethnicities, cultures, and religions and seek to foster teamwork and effective partnerships among our employees. | We celebrate our people’s diverse racial and ethnic backgrounds. | We work together to make diversity and inclusion a reality",https://www.oracle.com/careers/diversity-inclusion/,Governance,Diversity,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Diversity and inclusion,"We’re proud to be a company that makes diversity and inclusion a priority. | We welcome and support people of all races, ethnicities, cultures, and religions and seek to foster teamwork and effective partnerships among our employees. | We work together to make diversity and inclusion a reality",https://www.oracle.com/hk/careers/diversity-inclusion/,Governance,Diversity,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Diversity and Inclusion at CloudWorld,"Powering innovation with diversity and inclusion | To make our ideas better and our teams stronger, Oracle cultivates a global culture of diversity and inclusion (D&I). | Diversity and Inclusion at CloudWorld",https://www.oracle.com/cloudworld/diversity-inclusion/,Governance,Diversity,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Sustainable Supply Chain,Lower your carbon footprint by optimizing shipment capacity and routes and minimizing the deployment of empty trucks.,https://www.oracle.com/scm/sustainability/,Environmental,Carbon Footprint,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Sustainable Supply Chain,"Combat climate change by measuring energy consumption across your entire supply chain operations, from planning to execution. | Conserve energy by driving space and location efficiencies across the factory floor, distribution centers, and transportation modes.",https://www.oracle.com/scm/sustainability/,Environmental,Non-conventional energy methods,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Social Impact Report,for renewable energy use by 2025,https://www.oracle.com/asiasouth/social-impact/,Environmental,Non-conventional energy methods,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Social Impact Report,decrease in total emissions since 2020,https://www.oracle.com/asiasouth/social-impact/,Environmental,Carbon Footprint,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,Commitments,Diversity and inclusion,"We’re proud to be a company that makes diversity and inclusion a priority. | We welcome and support people of all races, ethnicities, cultures, and religions and seek to foster teamwork and effective partnerships among our employees. | We believe that innovation starts with inclusion and to create the future we need people with diverse backgrounds, perspectives, and abilities. | We work together to make diversity and inclusion a reality",https://www.oracle.com/bg/careers/diversity-inclusion/,Governance,Diversity,,,
0300f3c6-93e5-11eb-a746-fdabd18be9c6,News,Oracle’s path to Net Zero: analyzing emissions reduction and achievements,"GlobalData offers a comprehensive analysis of Oracle, providing key insights into its Environmental, Social, and Governance(ESG) factors. The company manages over 20 million square feet of real estate worldwide and uses Oracle IoT Cloud to monitor and manage key facilities to maximize energy efficiency. GlobalData’s company profile on Oracle offers a 360-degree view of the company, SWOT analysis, key financials, and business strategy including insights on ESG implementation among other information. Oracle has set a goal to achieve net-zero emissions by 2050 and use 100% renewable energy by 2025. Oracle provides a sustainable holistic solution, and its renewable energy goal of 100% by 2025 supports its customers' targets.",https://www.verdict.co.uk/oracle-net-zero-targets/,Environmental,Carbon Footprint,1.0,0.7,2023-07-05T08:46:59Z
